data,id,temperatura,umidade,eCO2,TVOC,CO2
2019-09-24 09:00:56 -03,1061,31.90,33.00,942.00,52.00,540.00
2019-09-24 09:01:56 -03,1062,31.90,32.00,810.00,62.00,547.00
2019-09-24 09:02:57 -03,1063,31.80,32.00,711.00,47.00,547.00
2019-09-24 09:03:57 -03,1064,31.70,33.00,665.00,40.00,548.00
2019-09-24 09:04:57 -03,1065,31.50,33.00,617.00,33.00,544.00
2019-09-24 09:05:57 -03,1066,31.40,34.00,574.00,26.00,551.00
2019-09-24 09:06:57 -03,1067,31.30,34.00,565.00,25.00,538.00
2019-09-24 09:07:57 -03,1068,31.20,34.00,574.00,26.00,540.00
2019-09-24 09:08:57 -03,1069,31.10,35.00,621.00,33.00,536.00
2019-09-24 09:09:57 -03,1070,31.20,35.00,506.00,16.00,533.00
2019-09-24 09:10:57 -03,1071,31.40,37.00,477.00,11.00,518.00
2019-09-24 09:11:57 -03,1072,31.60,38.00,485.00,12.00,505.00
2019-09-24 09:12:57 -03,1073,31.60,38.00,502.00,15.00,502.00
2019-09-24 09:13:57 -03,1074,31.70,38.00,895.00,75.00,494.00
2019-09-24 09:14:57 -03,1075,31.60,35.00,990.00,89.00,490.00
2019-09-24 09:15:57 -03,1076,31.70,35.00,773.00,56.00,474.00
2019-09-24 09:16:57 -03,1077,31.70,36.00,631.00,35.00,473.00
2019-09-24 09:17:57 -03,1078,31.80,37.00,561.00,24.00,473.00
2019-09-24 09:18:57 -03,1079,31.90,37.00,545.00,22.00,480.00
2019-09-24 09:19:58 -03,1080,31.80,34.00,581.00,27.00,487.00
2019-09-24 09:20:58 -03,1081,31.70,35.00,545.00,22.00,498.00
2019-09-24 09:21:58 -03,1082,31.60,34.00,553.00,23.00,510.00
2019-09-24 09:22:58 -03,1083,31.70,33.00,550.00,22.00,513.00
2019-09-24 09:23:58 -03,1084,31.60,33.00,561.00,24.00,525.00
2019-09-24 09:24:58 -03,1085,31.60,34.00,594.00,29.00,539.00
2019-09-24 09:25:58 -03,1086,31.60,34.00,463.00,9.00,546.00
2019-09-24 09:26:58 -03,1087,31.70,37.00,424.00,3.00,538.00
2019-09-24 09:27:58 -03,1088,31.70,38.00,420.00,3.00,517.00
2019-09-24 09:28:58 -03,1089,31.80,38.00,420.00,3.00,499.00
2019-09-24 09:29:58 -03,1090,31.90,38.00,407.00,1.00,490.00
2019-09-24 09:30:58 -03,1091,31.90,37.00,422.00,3.00,491.00
2019-09-24 09:31:58 -03,1092,31.80,38.00,448.00,7.00,480.00
2019-09-24 09:32:58 -03,1093,31.80,35.00,466.00,10.00,481.00
2019-09-24 09:33:58 -03,1094,31.70,35.00,503.00,15.00,501.00
2019-09-24 09:34:58 -03,1095,31.70,34.00,536.00,20.00,510.00
2019-09-24 09:35:58 -03,1096,31.50,34.00,526.00,19.00,519.00
